id,course_code,course_detail,course_group,course_name,credit
1,CS111,พัฒนาทักษะการวิเคราะห์และการแก้ปัญหาด้วยแนวคิดเชิงวัตถุ บูรณาการแนวคิด และแนวทางเชิงปฏิบัติที่ทันสมัยในวัฏจักรการพัฒนาซอฟต์แวร์ หลักการพื้นฐาน ในการเขียนโปรแกรมเชิงวัตถุตามที่วิเคราะห์และออกแบบไว้ แนวทางในการทบทวน ความสอดคล้องระหว่างแบบและซอร์สโค้ด,วิชาเฉพาะด้าน กลุ่มโครงสร้างพื้นฐานของระบบ,แนวคิดเชิงวัตถุ(Object-Oriented Concepts),3
2,CS101,ตรรกศาสตร์เบื้องต้นและการประยุกต์ใช้ในวงจรดิจิทัลพื้นฐาน วิธีการพิสูจน์ เซต ฟังก์ชัน ความสัมพันธ์ พีชคณิตบูลีน พื้นฐานการนับ และ กราฟ โดยเน้นการประยุกต์ใช้ในด้านวิทยาการคอมพิวเตอร์,วิชาแกน,โครงสร้างแบบไม่ต่อเนื่อง(Discrete Structures),3
